drug_name,active_ingredient,drug_classes,original_conditions
topiramate,topiramate,Carbonic anhydrase inhibitor anticonvulsants,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Bulimia|Diabetic Peripheral Neuropathy|Fibromyalgia|Lennox-Gastaut Syndrome|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Not Listed / Othe|Obesity|Seizure Prevention|Seizure Prevention (Seizure Prophylaxis)|Seizures|Seizures (Convulsions)|Smoking Cessation|Tourette's Syndrome|Trigeminal Neuralgia|Vulvodynia|ibromyalgia
toposar,etoposide,Mitotic inhibitors,Cancer
topotecan,topotecan,Miscellaneous antineoplastics,Cancer|Cervical Cancer|Ovarian Cancer|Small Cell Lung Cancer
torsemide,torsemide,Loop diuretics,Ascites|Edema|High Blood Pressure|Hypertension|Nonobstructive Oliguria|Renal Failure
tosymra,sumatriptan,Antimigraine agents,Migraine
toujeo solostar,insulin glargine,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
tovet,clobetasol topical,Topical steroids,Eczema
toviaz,fesoterodine,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
tradjenta,linagliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
tramadol,tramadol,Opioids (narcotic analgesics),Anxiety|Back Pain|Chronic Pain|Depression|Fibromyalgia|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Opiate Withdrawal|Pain|Restless Legs Syndrome|Rheumatoid Arthritis|Syringomyelia|Vulvodynia|ibromyalgia
trandate,labetalol,Non-cardioselective beta blockers,Hypertension
tranxene,clorazepate,Benzodiazepines,Alcohol Withdrawal|Anxiety|Seizure Prevention
tranxene t-tab,clorazepate,Benzodiazepines,Anxiety
tranylcypromine,tranylcypromine,Monoamine oxidase inhibitors,Depression
tranzarel,lidocaine,Topical anesthetics,Pain
trazodone,trazodone,Phenylpiperazine antidepressants,Anxiety|Depression|Fibromyalgia|Headache|Insomnia|Major Depressive Disorde|Major Depressive Disorder|Not Listed / Othe|Reflex Sympathetic Dystrophy Syndrome|Sedation|ibromyalgia
tretinoin,tretinoin topical,Topical acne agents,Acne|Acute Promyelocytic Leukemia|Lichen Sclerosus|Necrobiosis Lipoidica Diabeticorum|Photoaging of the Skin|Photoaging of the Skin (Dermatoheliosis)
trexall,methotrexate,"Antimetabolites, Antipsoriatics, Antirheumatics, Other immunosuppressants",Psoriasis
treziopak,triamcinolone acetonide,Topical steroids,Eczema
triamcinolone,triamcinolone,Nasal steroids,"Adrenocortical Insufficiency|Allergic Reactions|Allergic Rhinitis|Alopecia|Aphthous Ulce|Aphthous Ulcer|Asthma|Atopic Dermatitis|Berylliosis|Bursitis|Carpal Tunnel Syndrome|Chorioditis|Chorioretinitis|Conjunctivitis|Dermal Necrosis, Prophylaxis|Dermatitis|Dermatological Disorders|Eczema|Erythroblastopenia|Frozen Shoulder|Gouty Arthritis|Hayfever|Hemolytic Anemia|Idiopathic Thrombocytopenic Purpura|Iridocyclitis|Iritis|Keloids|Keratitis|Leukemia|Lichen Planus|Lichen Sclerosus|Lichen Simplex Chronicus|Loeffler's Syndrome (Pulmonary Eosinophilia)|Meningitis|Nephrotic Syndrome|Neuritis|Not Listed / Othe|Osteoarthritis|Pityriasis rubra pilaris|Plantar Fibromatosis|Psoriasis|Psoriatic Arthritis|Rheumatoid Arthritis|Sarcoidosis|Stomatitis|Synovitis|Systemic Lupus Erythematosus|Temporal Arteritis|Thrombocytopenia Idiopathic|Uveitis|Vitrectomy"
trianex,triamcinolone topical,Topical steroids,Eczema
triazolam,triazolam,Benzodiazepines,Insomnia|Not Listed / Othe
tricitrasol,trisodium citrate dihydrate,Urinary pH modifiers,GERD (Heartburn)
triderm,triamcinolone topical,Topical steroids,Eczema
trileptal,oxcarbazepine,Dibenzazepine anticonvulsants,Anxiety|Bipolar Disorde|Seizures|Trigeminal Neuralgia
trilipix,fenofibric acid,Fibric acid derivatives,Cholesterol|High Cholesterol|Hypertriglyceridemia
trimethoprim,trimethoprim,Urinary anti-infectives,Bladder Infection|Pneumocystis Pneumonia|Prevention of Bladder infection (Cystitis Prophylaxis)|UTI|Urinary Tract Infection
trimipramine,trimipramine,Tricyclic antidepressants,Depression
trintellix,vortioxetine,Miscellaneous antidepressants,Depression|Major Depressive Disorde
triostat,liothyronine,Thyroid drugs,Hypothyroidism
tritocin,triamcinolone acetonide,Topical steroids,Eczema
trokendi xr,topiramate,Carbonic anhydrase inhibitor anticonvulsants,Seizure Prevention|Seizures
trulicity,dulaglutide,Incretin mimetics,"Diabetes (Type 2)|Diabetes, Type 2"
tudorza pressair,aclidinium,Anticholinergic bronchodilators,"COPD|COPD, Maintenance"
tums regular strength,calcium carbonate chewable tablets,"Antacids, Minerals and electrolytes",GERD|GERD (Heartburn)|Indigestion|Stomach Ulce
tums smoothies,calcium carbonate chewable tablets,"Antacids, Minerals and electrolytes",GERD (Heartburn)|Indigestion
tussin expectorant,guaifenesin,Expectorants,Bronchitis
twilite,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
tybost,cobicistat,Antiviral boosters,AIDS/HIV
tycolene,acetaminophen,Miscellaneous analgesics,Pain
tygacil,tigecycline,Glycylcyclines,Pneumonia
tylenol,acetaminophen,Miscellaneous analgesics,Pain|Sciatica|eve
tylenol 8 hour,acetaminophen controlled-release tablets,Miscellaneous analgesics,Pain
tylenol arthritis pain,acetaminophen controlled-release tablets,Miscellaneous analgesics,Pain
tylenol cold,acetaminophen/chlorpheniramine/dextromethorphan/pseudoephedrine caps & tabs,Upper respiratory combinations,Cold Symptoms|Colds & Flu
tylenol cold multi-symptom nighttime,acetaminophen/chlorpheniramine/dextromethorphan/phenylephrine caps & tabs,Upper respiratory combinations,Colds & Flu
tymlos,abaloparatide,Parathyroid hormone and analogs,Osteoporosis
u-cort,hydrocortisone,Topical steroids,Eczema
uloric,febuxostat,Antihyperuricemic agents,Gout
ultram,tramadol,Opioids (narcotic analgesics),Back Pain|Chronic Pain|Pain|Restless Legs Syndrome|Rheumatoid Arthritis|ibromyalgia
ultravate,halobetasol topical,Topical steroids,Dermatitis|Eczema|Psoriasis
umeclidinium,umeclidinium,Anticholinergic bronchodilators,"COPD|COPD, Maintenance"
unisom sleepgels,diphenhydramine,"Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
unisom sleeptabs,doxylamine,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
unithroid,levothyroxine,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal"
up and up anti-diarrheal solution,loperamide hydrochloride,Antidiarrheals,Diarrhea
uro-mag,magnesium oxide,Minerals and electrolytes,Constipation
valium,diazepam,"Benzodiazepine anticonvulsants, Benzodiazepines",Alcohol Withdrawal|Anxiety|Endoscopy or Radiology Premedication|Light Anesthesia|Light Sedation|Meniere's Disease|Muscle Spasm|Night Terrors|Seizure Prevention|Seizures|Temporomandibular Joint Disorde|Tetanus
valsartan,valsartan,Angiotensin receptor blockers,High Blood Pressure|High Blood Pressure (Hypertension)|Hypertension|Left Ventricular Dysfunction
valu-dryl,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
vanamine pd,diphenhydramine,,Colds & Flu
vancocin hcl,vancomycin,Glycopeptide antibiotics,Bone infection|Pneumonia
vancocin hcl pulvules,vancomycin,Glycopeptide antibiotics,Pneumonia
vancomycin,vancomycin,Glycopeptide antibiotics,"Bacteremia|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bacterial Infection|Bone infection|Bone infection (Osteomyelitis)|Burns, External|Clostridial Infection|Clostridioides difficile Infection|Endocarditis|Enterocolitis|Febrile Neutropenia|Meningitis|Methicillin-Resistant Staphylococcus Aureus Infection|Nosocomial Pneumonia|Not Listed / Othe|Peritonitis|Pneumonia|Prevention of Perinatal Group B Streptococcal Disease|Pseudomembranous Colitis|Sepsis|Shunt Infection|Skin or Soft Tissue Infection|Surgical Prophylaxis"
vanos,fluocinonide topical,Topical steroids,Eczema
vardenafil,vardenafil,Impotence agents,Erectile Dysfunction
vasotec,enalapril,Angiotensin Converting Enzyme Inhibitors,Diabetic Kidney Disease|Hypertension|Left Ventricular Dysfunction
vazalore,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
vecamyl,mecamylamine,"Antiadrenergic agents, peripherally acting",Hypertension
vectical,calcitriol,Topical antipsoriatics,Psoriasis
veklury,remdesivir,"Investigational drugs, Purine nucleosides",Covid 19
venlafaxine,venlafaxine,Serotonin-norepinephrine reuptake inhibitors,Anxiety|Anxiety and Stress|Autism|Bipolar Disorde|Bipolar Disorder|Bulimia|Cataplexy|Depression|Dissociative Identity Disorde|Dissociative Identity Disorder|Fibromyalgia|Generalized Anxiety Disorde|Generalized Anxiety Disorder|Hot Flashes|Irritable Bowel Syndrome|Major Depressive Disorde|Major Depressive Disorder|Migraine|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Panic Disorde|Panic Disorder|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Postpartum Depression|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Social Anxiety Disorde|Social Anxiety Disorder|Somatoform Pain Disorder|Vulvodynia|ibromyalgia|m Pain Disorde
verapamil,verapamil,"Calcium channel blocking agents, Group IV antiarrhythmics",Angina|Arrhythmia|Atrial Tachycardia|Cluster Headaches|High Blood Pressure|Idiopathic Hypertrophic Subaortic Stenosis|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Nocturnal Leg Cramps|Supraventricular Tachycardia
verdeso,desonide topical,Topical steroids,Dermatitis|Eczema
verelan,verapamil,"Calcium channel blocking agents, Group IV antiarrhythmics",Angina|Cluster Headaches|Migraine Prevention
verelan pm,verapamil,"Calcium channel blocking agents, Group IV antiarrhythmics",Angina|Cluster Headaches|High Blood Pressure
versacloz,clozapine,Atypical antipsychotics,Schizophrenia
vesicare,solifenacin,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
viagra,sildenafil,Impotence agents,"Erectile Dysfunction|Sexual Dysfunction, SSRI Induced"
vibativ,telavancin,Glycopeptide antibiotics,Pneumonia
vibramycin,doxycycline,"Miscellaneous antimalarials, Tetracyclines",Acne|Bacterial Infection|Bronchitis|Skin or Soft Tissue Infection|Urinary Tract Infection
victoza,liraglutide,Incretin mimetics,"Diabetes (Type 2)|Diabetes, Type 1|Diabetes, Type 2|Obesity|Weight Loss"
vigadrone,vigabatrin,,Seizures
viibryd,vilazodone,Miscellaneous antidepressants,Anxiety|Depression|Major Depressive Disorde
vilazodone,vilazodone,Miscellaneous antidepressants,Anxiety|Depression|Major Depressive Disorde|Not Listed / Othe|Obsessive Compulsive Disorde
viloxazine,viloxazine,Adrenergic uptake inhibitors for ADHD,ADHD
vimpat,lacosamide,Miscellaneous anticonvulsants,Seizures
viracept,nelfinavir,Protease inhibitors,AIDS/HIV
viramune,nevirapine,NNRTIs,AIDS/HIV|HIV Infection
viramune xr,nevirapine,NNRTIs,AIDS/HIV
vitamin b6,pyridoxine,Vitamins,Nausea/Vomiting|Seizures
vitapap,acetaminophen,Miscellaneous analgesics,Pain
vivactil,protriptyline,Tricyclic antidepressants,Depression
vocabria,cabotegravir,Integrase strand transfer inhibitor,AIDS/HIV
voltaren,diclofenac,Nonsteroidal anti-inflammatory drugs,Ankylosing Spondylitis|Back Pain|Muscle Pain|Osteoarthritis|Pain|Period Pain|Rheumatoid Arthritis|Sciatica|zen Shoulde
voltaren arthritis pain gel,diclofenac topical,Topical non-steroidal anti-inflammatories,Osteoarthritis
vortioxetine,vortioxetine,Miscellaneous antidepressants,Depression|Major Depressive Disorde|Not Listed / Othe
vraylar,cariprazine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Schizophrenia
vyvanse,lisdexamfetamine,CNS stimulants,ADHD|Asperger Syndrome|Binge Eating Disorde|Chronic Fatigue Syndrome|Depression|Narcolepsy|Oppositional Defiant Disorde
wal-finate,chlorpheniramine,Antihistamines,Allergic Rhinitis|Colds & Flu
wal-itin,loratadine,Antihistamines,Hayfever
wegovy,semaglutide,Incretin mimetics,Weight Loss
welchol,colesevelam,Bile acid sequestrants,"Cholesterol|Diabetes, Type 2|Diarrhea, Chronic|High Cholesterol|Hyperlipoproteinemia Type IIa, Elevated LDL"
wellbutrin sr,bupropion,Miscellaneous antidepressants,ADHD|Bipolar Disorde|Depression|Major Depressive Disorde|Obesity|Panic Disorde
wellbutrin xl,bupropion,Miscellaneous antidepressants,ADHD|Anxiety|Bipolar Disorde|Depression|Major Depressive Disorde|Obesity|Seasonal Affective Disorde
westhroid,thyroid desiccated,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|Underactive Thyroid"
wp thyroid,thyroid desiccated,Thyroid drugs,Hashimoto's disease|Hypothyroidism|Underactive Thyroid
xanax,alprazolam,Benzodiazepines,Anxiety|Depression|Dysautonomia|Panic Disorde|Tinnitus
xaquil xr,l-methylfolate,Vitamins,Depression
xcopri,cenobamate,Carbamate anticonvulsants,Seizures
xenical,orlistat,Peripherally acting antiobesity agents,Obesity|Weight Loss
xenleta,lefamulin,Miscellaneous antibiotics,Pneumonia
ximino,minocycline,Tetracyclines,Acne
xopenex,levalbuterol inhalation,Adrenergic bronchodilators,"Asthma|Asthma, Maintenance|Asthma, acute|COPD, Acute|COPD, Maintenance"
xopenex concentrate,levalbuterol inhalation,Adrenergic bronchodilators,Asthma
xopenex hfa,levalbuterol inhalation,Adrenergic bronchodilators,"Asthma|Asthma, acute"
xpect,guaifenesin,Expectorants,Bronchitis
xtampza er,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Pain
xylocaine topical,lidocaine hydrochloride,Topical anesthetics,Pain
xyzal,levocetirizine,Antihistamines,Allergic Rhinitis|Allergies|Urticaria
yupelri,revefenacin,Anticholinergic bronchodilators,COPD
z-sleep,diphenhydramine,,Insomnia
zaleplon,zaleplon,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia|Not Listed / Othe
zanamivir,zanamivir,"Inhaled anti-infectives, Neuraminidase inhibitors",Influenza|Influenza Prophylaxis|Swine Flu
zarontin,ethosuximide,Succinimide anticonvulsants,Seizures
zaroxolyn,metolazone,Thiazide diuretics,Edema|Hypertension
zembrace symtouch,sumatriptan,Antimigraine agents,Migraine
zemdri,plazomicin,Aminoglycosides,UTI
zenatane,isotretinoin,Miscellaneous uncategorized agents,Acne
zenzedi,dextroamphetamine,CNS stimulants,ADHD
zestril,lisinopril,Angiotensin Converting Enzyme Inhibitors,High Blood Pressure|Hypertension
zetia,ezetimibe,Cholesterol absorption inhibitors,"Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous"
zetonna,ciclesonide nasal,Nasal steroids,Hayfever
ziagen,abacavir,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV
ziconotide,ziconotide,Miscellaneous analgesics,Chronic Pain|Pain
zidovudine,zidovudine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|Nonoccupational Exposure|Occupational Exposure|Reduction of Perinatal Transmission of HIV
zilretta,triamcinolone acetonide,Glucocorticoids,Osteoarthritis
zionodil,lidocaine hydrochloride,Topical anesthetics,Pain
ziprasidone,ziprasidone,Atypical antipsychotics,Autism|Bipolar Disorde|Bipolar Disorder|Body Dysmorphic Disorde|Body Dysmorphic Disorder|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Paranoid Disorde|Paranoid Disorder|Schizoaffective Disorde|Schizoaffective Disorder|Schizophrenia|Tourette's Syndrome
zipsor,diclofenac,Nonsteroidal anti-inflammatory drugs,Back Pain|Muscle Pain|Pain
zithranol,anthralin,Topical antipsoriatics,Psoriasis
zithranol-rr,anthralin,Topical antipsoriatics,Psoriasis
zithromax,azithromycin,Macrolides,"Bacterial Endocarditis Prevention|Bacterial Infection|Bronchitis|Chlamydia Infection|Cystic Fibrosis|Mycobacterium avium-intracellulare, Treatment|Otitis Media|Pneumonia|Sinusitis|Skin or Soft Tissue Infection|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection"
zocor,simvastatin,Statins,Cholesterol|High Cholesterol
zoledronic acid,zoledronic acid,Bisphosphonates,Hypercalcemia of Malignancy|Osteolytic Bone Lesions of Multiple Myeloma|Osteolytic Bone Metastases of Solid Tumors|Osteoporosis|Paget's Disease|Prevention of Osteoporosis
zolmitriptan,zolmitriptan,Antimigraine agents,Cluster Headaches|Cyclic Vomiting Syndrome|Migraine|Not Listed / Othe
zoloft,sertraline,Selective serotonin reuptake inhibitors,Anxiety and Stress|Bipolar Disorde|Depression|Generalized Anxiety Disorde|Major Depressive Disorde|Obsessive Compulsive Disorde|Panic Disorde|Persistent Depressive Disorde|Post Traumatic Stress Disorde|Postpartum Depression|Premenstrual Dysphoric Disorde|Social Anxiety Disorde|Trichotillomania|Vulvodynia
zolpidem,zolpidem,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia|Not Listed / Othe
zometa,zoledronic acid,Bisphosphonates,Hypercalcemia of Malignancy|Osteolytic Bone Lesions of Multiple Myeloma|Osteolytic Bone Metastases of Solid Tumors|Osteoporosis|Paget's Disease
zomig,zolmitriptan,Antimigraine agents,Migraine
zomig nasal spray,zolmitriptan,,Migraine
zomig-zmt,zolmitriptan,Antimigraine agents,Migraine
zonalon,doxepin topical,Topical antihistamines,Eczema
zonegran,zonisamide,Carbonic anhydrase inhibitor anticonvulsants,Benign Essential Trem|Migraine Prevention|Seizures
zonisade,zonisamide,Carbonic anhydrase inhibitor anticonvulsants,Seizures
zonisamide,zonisamide,Carbonic anhydrase inhibitor anticonvulsants,Benign Essential Trem|Benign Essential Tremor|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Parkinsonian Tremor|Seizures|Seizures (Convulsions)
zorvolex,diclofenac,Nonsteroidal anti-inflammatory drugs,Osteoarthritis|Pain
zostrix,capsaicin topical,Miscellaneous topical agents,Diabetic Peripheral Neuropathy|Osteoarthritis
zovirax,acyclovir,Purine nucleosides,"Herpes|Herpes Simplex|Herpes Simplex, Suppression|Herpes Zoste"
zovirax cream,acyclovir,Topical antivirals,Cold Sores|Herpes|Herpes Simplex
zovirax ointment,acyclovir,Topical antivirals,Cold Sores|Herpes|Herpes Simplex
ztalmy,ganaxolone,Gamma-aminobutyric acid analogs,Seizures
zyloprim,allopurinol,"Antigout agents, Antihyperuricemic agents",Gout
zypitamag,pitavastatin,Statins,Cholesterol
zyprexa,olanzapine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Depression|Insomnia|Major Depressive Disorde|Obsessive Compulsive Disorde|Paranoid Disorde|Schizoaffective Disorde|Schizophrenia|Tourette's Syndrome
zyprexa intramuscular,olanzapine,Atypical antipsychotics,Agitation|Bipolar Disorder
zyprexa relprevv,olanzapine,Atypical antipsychotics,Schizophrenia
zyprexa zydis,olanzapine,Atypical antipsychotics,Asperger Syndrome|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Paranoid Disorde|Schizoaffective Disorde|Schizophrenia
zyrtec,cetirizine,Antihistamines,Allergic Rhinitis|Hayfever|Urticaria
zyvox,linezolid,Oxazolidinone antibiotics,Bacteremia|Bacterial Infection|Methicillin-Resistant Staphylococcus Aureus Infection|Pneumonia|Skin and Structure Infection
